ID,SolicitaCredenciales,EnlacesSospechosos,AsuntoUrgente_compuesto,DominioRemitenteSospechoso,NombreDominioIncoherente,DominioContacto_compuesto,DominioAmenaza_compuesto,MicroSeñales_fuerte,LinkYActualizacion,SolicitaCredencialesAlternativa
Correo57,0,0,0,1,0,1,0,0,0,0 #Legítimo
Correo58,1,0,1,0,0,0,0,1,0,1 #Legítimo
Correo59,0,0,0,0,0,0,1,1,1,0 #Legítimo 
Correo60,0,1,0,0,0,1,0,0,1,0 #Legítimo
Correo61,1,0,1,1,1,0,0,0,1,1 #Legítimo
Correo62,0,0,0,1,0,1,0,0,1,1 #Legítimo
Correo63,0,0,1,0,0,0,0,1,0,0 #Legítimo
Correo64,0,1,0,1,1,1,0,0,0,0 #Legítimo
Correo65,0,1,1,1,0,0,1,1,0,1 #Legítimo
Correo66,0,0,1,0,1,0,0,1,0,0 #Legítimo
Correo67,0,0,0,1,0,1,0,1,1,1 #Legítimo
Correo68,0,1,1,1,0,1,1,0,0,1 #Legítimo
Correo69,0,0,1,0,0,0,0,1,0,0 #Legítimo
Correo70,1,1,0,1,1,0,0,1,0,0 #Legítimo
Correo71,0,0,0,0,1,0,0,1,1,0 #Legítimo
Correo72,0,1,0,0,1,0,0,0,1,1 #Legítimo
Correo73,0,1,1,1,1,1,0,0,1,1 #Legítimo
Correo74,0,0,1,0,0,0,1,0,1,1 #Legítimo
Correo75,0,1,0,0,0,1,0,1,0,1 #Legítimo
Correo76,0,0,0,0,1,1,0,0,0,1 #Legítimo
Correo77,1,0,0,1,1,1,0,1,0,0 #Legítimo
Correo78,0,0,1,1,0,1,0,0,1,1 #Legítimo
Correo79,0,1,1,1,1,0,1,0,1,1 #Legítimo
Correo80,0,0,0,0,0,1,0,1,1,0 #Legítimo
Correo81,0,1,1,1,1,0,0,1,1,0 #Legítimo
Correo82,0,0,1,0,0,0,0,0,1,0 #Legítimo
Correo83,0,1,1,1,1,0,1,1,0,0 #Legítimo
Correo84,0,0,0,1,0,1,1,0,1,1 #Legítimo
Correo85,0,0,0,0,1,0,0,0,1,1 #Legítimo
Correo86,1,0,1,0,1,0,1,1,0,1 #Legítimo
Correo87,0,1,1,0,0,1,1,0,0,0 #Legítimo
Correo88,0,0,0,1,0,0,0,1,0,0 #Legítimo
Correo89,0,1,0,1,1,1,1,0,1,0 #Legítimo
Correo90,0,0,1,0,1,0,0,0,0,1 #Legítimo
Correo91,0,1,0,0,0,0,0,1,0,1 #Legítimo
Correo92,1,1,0,0,1,1,0,1,0,0 #Legítimo
Correo93,0,0,0,1,0,1,0,0,1,1 #Legítimo
Correo94,0,0,1,0,0,0,0,0,1,1 #Legítimo 
Correo95,0,1,0,0,1,1,0,0,1,1 #Legítimo
Correo96,0,0,0,0,0,0,0,0,1,1 #Legítimo
Correo97,0,1,0,1,1,1,0,1,1,1 #Legítimo 
Correo98,0,0,1,0,0,1,0,1,1,0 #Legítimo
Correo99,1,0,1,1,1,0,1,0,1,0 #Legítimo
Correo100,0,0,0,1,1,0,0,1,0,1 #Legítimo


