ID,AsuntoUrgente,SolicitaCredenciales,EnlacesSospechosos,DominioRemitenteSospechoso,ErroresOrtograficos,FaltaInformacionContacto,AmenazasConsecuencias,PremioInexperado,ActualizacionUrgente,SaludoGenerico,Clase_Manual,Clase_Predicha
Correo43,1,1,0,1,0,1,1,0,0,0,Phishing,Phishing
Correo44,1,0,0,1,1,0,1,1,1,0,Phishing,Phishing
Correo45,1,1,1,0,1,1,0,0,1,1,Phishing,Phishing
Correo46,1,0,0,0,1,0,1,1,0,1,Phishing,Legítimo
Correo47,1,1,1,1,1,0,0,0,0,1,Phishing,Phishing
Correo48,1,0,1,0,0,1,1,1,1,1,Phishing,Phishing
Correo49,1,1,0,1,1,1,1,0,1,1,Phishing,Phishing
Correo50,1,0,0,0,1,0,1,0,1,1,Phishing,Legítimo
Correo51,0,0,0,0,0,0,0,0,0,0,Legítimo,Legítimo
Correo52,0,0,0,0,0,1,0,1,0,0,Legítimo,Legítimo
Correo53,0,0,1,0,0,1,0,0,0,0,Legítimo,Legítimo
Correo54,0,1,1,0,0,0,0,0,0,0,Legítimo,Legítimo
Correo55,0,0,0,0,0,1,0,0,0,1,Legítimo,Legítimo
Correo56,0,1,0,1,0,0,0,0,0,0,Legítimo,Legítimo
Correo57,0,0,0,0,1,0,0,1,0,0,Legítimo,Legítimo
Correo58,0,1,0,0,0,0,0,1,0,0,Legítimo,Legítimo
Correo59,0,0,0,0,1,0,1,0,0,0,Legítimo,Legítimo
Correo60,0,0,0,1,0,0,0,0,0,1,Legítimo,Legítimo
Correo61,0,0,0,1,0,0,1,0,0,0,Legítimo,Legítimo
Correo62,0,1,0,0,0,0,0,0,0,0,Legítimo,Legítimo
Correo63,0,0,0,1,0,0,0,0,1,0,Legítimo,Legítimo
Correo64,0,0,0,0,0,0,0,1,0,0,Legítimo,Legítimo
Correo65,0,0,1,0,0,0,0,0,0,0,Legítimo,Legítimo
Correo66,0,1,0,0,1,0,0,0,0,0,Legítimo,Legítimo
Correo67,0,0,0,0,0,1,0,0,0,1,Legítimo,Legítimo
Correo68,0,0,1,0,1,0,0,0,0,0,Legítimo,Legítimo
Correo69,0,0,0,0,0,0,0,0,1,1,Legítimo,Legítimo
Correo70,0,0,0,0,0,1,0,0,1,0,Legítimo,Legítimo
Correo71,0,0,1,0,0,0,0,0,0,0,Legítimo,Legítimo
Correo72,0,1,1,0,0,0,0,0,0,0,Legítimo,Legítimo
Correo73,0,0,0,0,1,0,0,1,0,0,Legítimo,Legítimo
Correo74,0,1,0,0,1,0,0,0,0,0,Legítimo,Legítimo
Correo75,0,0,0,0,0,0,0,0,1,1,Legítimo,Legítimo
Correo76,0,0,0,0,0,1,1,0,0,0,Legítimo,Legítimo
Correo77,0,0,0,0,1,0,0,0,0,0,Legítimo,Legítimo
Correo78,0,1,0,0,0,0,1,0,0,0,Legítimo,Legítimo
Correo79,0,0,0,1,0,0,1,0,0,0,Legítimo,Legítimo
Correo80,0,1,0,0,0,0,0,0,1,0,Legítimo,Legítimo
Correo81,0,0,0,0,0,0,1,0,1,0,Legítimo,Legítimo
Correo82,0,0,0,0,1,0,0,0,0,0,Legítimo,Legítimo
Correo83,0,0,0,0,1,0,0,1,0,0,Legítimo,Legítimo
Correo84,0,1,0,1,0,0,0,0,0,0,Legítimo,Legítimo
Correo85,0,0,0,0,1,0,0,0,1,0,Legítimo,Legítimo
Correo86,0,1,0,0,0,0,0,0,0,1,Legítimo,Legítimo
Correo87,0,0,0,0,1,0,0,0,0,0,Legítimo,Legítimo
Correo88,0,1,0,0,0,0,0,1,0,0,Legítimo,Legítimo
Correo89,0,0,0,0,0,0,1,0,1,0,Legítimo,Legítimo
Correo90,0,1,0,0,0,0,0,0,1,0,Legítimo,Legítimo
Correo91,0,0,0,0,0,0,1,0,0,0,Legítimo,Legítimo
Correo92,0,1,0,0,0,0,0,0,1,0,Legítimo,Legítimo
Correo93,0,0,0,0,0,0,0,1,1,0,Legítimo,Legítimo
Correo94,0,0,1,0,0,0,0,0,0,0,Legítimo,Legítimo
Correo95,0,0,0,0,0,1,1,0,0,0,Legítimo,Legítimo
Correo96,0,0,0,0,0,0,0,0,0,1,Legítimo,Legítimo
Correo97,0,0,0,0,0,0,1,0,0,0,Legítimo,Legítimo
Correo98,0,1,1,0,0,0,0,0,0,0,Legítimo,Legítimo
Correo99,0,0,0,0,0,0,0,1,0,0,Legítimo,Legítimo
Correo100,0,1,0,0,0,0,0,0,0,1,Legítimo,Legítimo
